,product_id,warehouse_id,quantity,Source_index,Sink_index,_merge
1112,1,1,1,Missing,0,Sink
1113,1,9,120,Missing,1,Sink
1114,2,9,120,Missing,2,Sink
1115,3,9,121,Missing,3,Sink
1116,196,9,122,Missing,5,Sink
1117,2,2,2,Missing,75,Sink
1118,3,3,3,Missing,150,Sink
1119,4,4,4,Missing,206,Sink
1120,196,9,122,Missing,1120,Sink
1121,198,9,122,Missing,1121,Sink
1122,199,9,123,Missing,1122,Sink
1123,200,9,123,Missing,1123,Sink
1124,201,9,124,Missing,1124,Sink
1125,203,9,124,Missing,1125,Sink
1126,204,9,125,Missing,1126,Sink
1127,205,9,125,Missing,1127,Sink
1128,207,9,109,Missing,1128,Sink
1129,210,9,110,Missing,1129,Sink
1130,211,9,111,Missing,1130,Sink
1131,212,9,111,Missing,1131,Sink
1132,214,9,112,Missing,1132,Sink
1133,216,9,113,Missing,1133,Sink
1134,217,9,113,Missing,1134,Sink
1135,218,9,114,Missing,1135,Sink
1136,220,9,134,Missing,1136,Sink
1137,221,9,135,Missing,1137,Sink
1138,222,9,135,Missing,1138,Sink
1139,223,9,136,Missing,1139,Sink
1140,241,9,109,Missing,1140,Sink
1141,242,9,109,Missing,1141,Sink
1142,243,9,109,Missing,1142,Sink
1143,245,9,125,Missing,1143,Sink
1144,269,9,161,Missing,1144,Sink
1145,270,9,161,Missing,1145,Sink
1146,271,9,165,Missing,1146,Sink
1147,272,9,166,Missing,1147,Sink
1148,274,9,148,Missing,1148,Sink
1149,276,9,169,Missing,1149,Sink
1150,277,9,169,Missing,1150,Sink
1151,278,9,170,Missing,1151,Sink
1152,281,9,155,Missing,1152,Sink
1153,283,9,179,Missing,1153,Sink
1154,3,1,106,Missing,1154,Sink
1155,4,1,106,Missing,1155,Sink
1156,5,1,106,Missing,1156,Sink
1157,6,1,107,Missing,1157,Sink
1158,11,1,108,Missing,1158,Sink
1159,12,1,108,Missing,1159,Sink
1160,80,1,125,Missing,1160,Sink
1161,87,1,131,Missing,1161,Sink
1162,88,1,117,Missing,1162,Sink
1163,89,1,118,Missing,1163,Sink
1164,90,1,118,Missing,1164,Sink
1165,103,1,125,Missing,1165,Sink
1166,105,1,126,Missing,1166,Sink
1167,108,1,126,Missing,1167,Sink
1168,110,1,127,Missing,1168,Sink
1169,114,1,128,Missing,1169,Sink
1170,123,1,131,Missing,1170,Sink
1171,132,1,133,Missing,1171,Sink
1172,133,1,133,Missing,1172,Sink
1173,142,1,89,Missing,1173,Sink
1174,161,1,132,Missing,1174,Sink
1175,174,1,170,Missing,1175,Sink
1176,175,1,170,Missing,1176,Sink
1177,182,1,175,Missing,1177,Sink
1178,184,1,175,Missing,1178,Sink
1179,185,1,176,Missing,1179,Sink
1180,207,1,205,Missing,1180,Sink
1181,216,1,209,Missing,1181,Sink
1182,220,1,196,Missing,1182,Sink
1183,221,1,197,Missing,1183,Sink
1184,222,1,197,Missing,1184,Sink
1185,223,1,197,Missing,1185,Sink
1186,245,1,221,Missing,1186,Sink
1187,269,1,222,Missing,1187,Sink
1188,270,1,222,Missing,1188,Sink
1189,281,1,251,Missing,1189,Sink
1190,3,2,96,Missing,1190,Sink
1191,4,2,96,Missing,1191,Sink
1192,5,2,96,Missing,1192,Sink
1193,6,2,96,Missing,1193,Sink
1194,7,2,97,Missing,1194,Sink
1195,8,2,97,Missing,1195,Sink
1196,9,2,97,Missing,1196,Sink
1197,11,2,98,Missing,1197,Sink
1198,12,2,98,Missing,1198,Sink
1199,13,2,98,Missing,1199,Sink
1200,14,2,98,Missing,1200,Sink
1201,15,2,99,Missing,1201,Sink
1202,17,2,100,Missing,1202,Sink
1203,18,2,101,Missing,1203,Sink
1204,19,2,101,Missing,1204,Sink
1205,20,2,104,Missing,1205,Sink
1206,21,2,105,Missing,1206,Sink
1207,22,2,114,Missing,1207,Sink
1208,23,2,114,Missing,1208,Sink
1209,24,2,115,Missing,1209,Sink
1210,25,2,115,Missing,1210,Sink
1211,26,2,115,Missing,1211,Sink
1212,27,2,106,Missing,1212,Sink
1213,29,2,107,Missing,1213,Sink
1214,30,2,107,Missing,1214,Sink
1215,33,2,117,Missing,1215,Sink
1216,35,2,118,Missing,1216,Sink
1217,36,2,118,Missing,1217,Sink
1218,37,2,119,Missing,1218,Sink
1219,38,2,119,Missing,1219,Sink
1220,39,2,119,Missing,1220,Sink
1221,40,2,119,Missing,1221,Sink
1222,41,2,119,Missing,1222,Sink
1223,42,2,122,Missing,1223,Sink
1224,43,2,122,Missing,1224,Sink
1225,44,2,122,Missing,1225,Sink
1226,50,2,117,Missing,1226,Sink
1227,54,2,110,Missing,1227,Sink
1228,62,2,149,Missing,1228,Sink
1229,63,2,149,Missing,1229,Sink
1230,67,2,154,Missing,1230,Sink
1231,68,2,154,Missing,1231,Sink
1232,69,2,154,Missing,1232,Sink
1233,70,2,155,Missing,1233,Sink
1234,71,2,155,Missing,1234,Sink
1235,72,2,155,Missing,1235,Sink
1236,73,2,111,Missing,1236,Sink
1237,74,2,111,Missing,1237,Sink
1238,76,2,112,Missing,1238,Sink
1239,78,2,113,Missing,1239,Sink
1240,79,2,113,Missing,1240,Sink
1241,80,2,113,Missing,1241,Sink
1242,87,2,119,Missing,1242,Sink
1243,88,2,167,Missing,1243,Sink
1244,89,2,167,Missing,1244,Sink
1245,90,2,167,Missing,1245,Sink
1246,94,2,91,Missing,1246,Sink
1247,99,2,94,Missing,1247,Sink
1248,100,2,94,Missing,1248,Sink
1249,101,2,173,Missing,1249,Sink
1250,103,2,178,Missing,1250,Sink
1251,104,2,81,Missing,1251,Sink
1252,105,2,178,Missing,1252,Sink
1253,106,2,178,Missing,1253,Sink
1254,107,2,178,Missing,1254,Sink
1255,108,2,179,Missing,1255,Sink
1256,109,2,179,Missing,1256,Sink
1257,110,2,179,Missing,1257,Sink
1258,114,2,180,Missing,1258,Sink
1259,115,2,181,Missing,1259,Sink
1260,116,2,182,Missing,1260,Sink
1261,117,2,182,Missing,1261,Sink
1262,119,2,183,Missing,1262,Sink
